ELECTORAL_DISTRICT_NUMBER,PROVINCE,ELECTORAL_DISTRICT_NAME,URBAN_SEMIURBAN_RURAL,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES_OBTAINED,PERCENTAGE_OF_VOTES_OBTAINED,MAJORITY,MAJORITY_PERCENTAGE,POPULATION,ELECTORS,PERCENTAGE_OF_VOTER_TURNOUT,ELECTED_CANDIDATE,ELECTED_CANDIDATE_PARTY,PROV_CODE
10001,Newfoundland and Labrador,Avalon,Semi-urban,Ken McDonald,Liberal,18608,50.1,5870.0,15.8,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Matthew Chapman,Conservative,12738,34.3,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Carolyn Davis,NDP-New Democratic Party,5151,13.9,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10001,Newfoundland and Labrador,Avalon,Semi-urban,Lainie Stewart,People's Party - PPC,647,1.7,,,86494,70903,52.8,"McDonald, Ken",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Churence Rogers,Liberal,13972,46.6,1694.0,5.6,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Sharon Vokey,Conservative,12278,40.9,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Anne Marie Anonsen,NDP-New Democratic Party,2484,8.3,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,Rural,Linda Hogan,People's Party - PPC,1257,4.2,,,74116,59605,51.1,"Rogers, Churence",Liberal,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Clifford Small,Conservative,14927,46.9,281.0,0.9,77680,63631,51.1,"Small, Clifford",Conservative,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Scott Simms,Liberal,14646,46.0,,,77680,63631,51.1,"Small, Clifford",Conservative,NL
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,Rural,Jamie Ruby,NDP-New Democratic Party,2261,7.1,,,77680,63631,51.1,"Small, Clifford",Conservative,NL
10004,Newfoundland and Labrador,Labrador,Rural,Yvonne Jones,Liberal,4119,42.7,1189.0,12.3,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Shane Dumaresque,Conservative,2930,30.4,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Amy Norman,NDP-New Democratic Party,2297,23.8,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10004,Newfoundland and Labrador,Labrador,Rural,Shannon Champion,People's Party - PPC,307,3.2,,,27197,20239,48.2,"Jones, Yvonne",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Gudie Hutchings,Liberal,16178,44.4,1834.0,5.0,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Carol Anstey,Conservative,14344,39.4,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Kaila Mintz,NDP-New Democratic Party,4347,11.9,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10005,Newfoundland and Labrador,Long Range Mountains,Rural,Darrell Shelley,People's Party - PPC,1578,4.3,,,86553,70208,52.6,"Hutchings, Gudie",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Joanne Thompson,Liberal,17239,45.2,4149.0,10.9,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Mary Shortall,NDP-New Democratic Party,13090,34.3,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Glenn Etchegary,Conservative,7119,18.7,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10006,Newfoundland and Labrador,St. John's East/St. John's-Est,Urban,Dana Metcalfe,People's Party - PPC,723,1.9,,,85697,66963,57.4,"Thompson, Joanne",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Seamus O'Regan,Liberal,19478,56.2,11365.0,32.8,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Ray Critch,NDP-New Democratic Party,8113,23.4,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Steve Hodder,Conservative,6447,18.6,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
10007,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Urban,Georgia Faith Stewart,People's Party - PPC,638,1.8,,,81979,66677,52.6,"O'Regan, Seamus",Liberal,NL
11001,Prince Edward Island,Cardigan,Semi-urban,Lawrence MacAulay,Liberal,11175,50.6,4358.0,19.7,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Wayne Phelan,Conservative,6817,30.9,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Lynne Thiele,NDP-New Democratic Party,2168,9.8,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Michael MacLean,Green Party,1064,4.8,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Kevin Hardy,People's Party - PPC,725,3.3,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11001,Prince Edward Island,Cardigan,Semi-urban,Fred MacLeod,Christian Heritage Party,145,0.7,,,36615,30843,72.3,"MacAulay, Lawrence",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Sean Casey,Liberal,8919,46.7,2987.0,15.6,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Doug Currie,Conservative,5932,31.1,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Margaret Andrade,NDP-New Democratic Party,2048,10.7,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Darcie Lanthier,Green Party,1832,9.6,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11002,Prince Edward Island,Charlottetown,Urban,Scott McPhee,People's Party - PPC,369,1.9,,,36094,27383,70.5,"Casey, Sean",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Bobby Morrissey,Liberal,9040,46.2,2952.0,15.1,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Barry Balsom,Conservative,6088,31.1,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Alex Clark,Green Party,1771,9.1,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Lisa Bradshaw,NDP-New Democratic Party,1688,8.6,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11003,Prince Edward Island,Egmont,Rural,Wayne Biggar,People's Party - PPC,974,5.0,,,34168,28729,68.9,"Morrissey, Bobby",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Heath MacDonald,Liberal,9912,41.8,2076.0,8.8,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Jody Sanderson,Conservative,7836,33.1,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Anna Keenan,Green Party,3381,14.3,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Michelle Neill,NDP-New Democratic Party,1898,8.0,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
11004,Prince Edward Island,Malpeque,Semi-urban,Christopher Landry,People's Party - PPC,680,2.9,,,36030,32009,74.6,"MacDonald, Heath",Liberal,PE
12001,Nova Scotia,Cape Breton--Canso,Rural,Mike Kelloway,Liberal,18288,46.5,4483.0,11.4,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Fiona MacLeod,Conservative,13805,35.1,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Jana Reddick,NDP-New Democratic Party,5618,14.3,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12001,Nova Scotia,Cape Breton--Canso,Rural,Brad Grandy,People's Party - PPC,1649,4.2,,,71913,60651,65.5,"Kelloway, Mike",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Sean Fraser,Liberal,18682,46.2,5622.0,13.9,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Steven Cotter,Conservative,13060,32.3,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Betsy MacDonald,NDP-New Democratic Party,6225,15.4,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Al Muir,People's Party - PPC,1445,3.6,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Katerina Nikas,Green Party,494,1.2,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Harvey Henderson,Independent,365,0.9,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Chris Frazer,Communist,138,0.3,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12002,Nova Scotia,Central Nova/Nova-Centre,Rural,Ryan Smyth,Rhinoceros Party,65,0.2,,,71962,62193,65.5,"Fraser, Sean",Liberal,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Stephen Ellis,Conservative,18601,46.0,4779.0,11.8,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Lenore Zann,Liberal,13822,34.2,,,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Daniel Osborne,NDP-New Democratic Party,4984,12.3,,,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Bill Archer,People's Party - PPC,1687,4.2,,,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Jillian Foster,Green Party,1045,2.6,,,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12003,Nova Scotia,Cumberland--Colchester,Rural,Jody O'Blenis,Independent,278,0.7,,,80590,67768,60.1,"Ellis, Stephen",Conservative,NS
12004,Nova Scotia,Dartmouth--Cole Harbour,Semi-urban,Darren Fisher,Liberal,24209,53.1,8942.0,19.6,92301,75898,61.2,"Fisher, Darren",Liberal,NS
12004,Nova Scotia,Dartmouth--Cole Harbour,Semi-urban,Kevin Payne,NDP-New Democratic Party,15267,33.5,,,92301,75898,61.2,"Fisher, Darren",Liberal,NS
12004,Nova Scotia,Dartmouth--Cole Harbour,Semi-urban,Michelle Lindsay,People's Party - PPC,4781,10.5,,,92301,75898,61.2,"Fisher, Darren",Liberal,NS
12004,Nova Scotia,Dartmouth--Cole Harbour,Semi-urban,Rana Zaman,Green Party,1371,3.0,,,92301,75898,61.2,"Fisher, Darren",Liberal,NS
12005,Nova Scotia,Halifax,Urban,Andy Fillmore,Liberal,21905,42.7,1558.0,3.0,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12005,Nova Scotia,Halifax,Urban,Lisa Roberts,NDP-New Democratic Party,20347,39.7,,,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12005,Nova Scotia,Halifax,Urban,Cameron Ells,Conservative,6601,12.9,,,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12005,Nova Scotia,Halifax,Urban,Jo-Ann Roberts,Green Party,1128,2.2,,,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12005,Nova Scotia,Halifax,Urban,B. Alexander Hébert,People's Party - PPC,1069,2.1,,,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12005,Nova Scotia,Halifax,Urban,Katie Campbell,Communist,198,0.4,,,94610,78065,66.1,"Fillmore, Andy",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Lena Metlege Diab,Liberal,24744,48.5,12413.0,24.3,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Jonathan Keith Roberts,NDP-New Democratic Party,12331,24.2,,,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Eleanor Humphries,Conservative,11243,22.0,,,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Julie Scott,People's Party - PPC,1447,2.8,,,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Richard Zurawski,Green Party,1181,2.3,,,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12006,Nova Scotia,Halifax West/Halifax-Ouest,Urban,Kevin Schulthies,Christian Heritage Party,85,0.2,,,96255,79173,64.7,"Diab, Lena Metlege",Liberal,NS
12007,Nova Scotia,Kings--Hants,Semi-urban,Kody Blois,Liberal,20192,44.9,6958.0,15.5,83465,72312,62.5,"Blois, Kody",Liberal,NS
12007,Nova Scotia,Kings--Hants,Semi-urban,Mark Parent,Conservative,13234,29.4,,,83465,72312,62.5,"Blois, Kody",Liberal,NS
12007,Nova Scotia,Kings--Hants,Semi-urban,Stephen Schneider,NDP-New Democratic Party,8645,19.2,,,83465,72312,62.5,"Blois, Kody",Liberal,NS
12007,Nova Scotia,Kings--Hants,Semi-urban,Steven Ford,People's Party - PPC,1945,4.3,,,83465,72312,62.5,"Blois, Kody",Liberal,NS
12007,Nova Scotia,Kings--Hants,Semi-urban,Sheila G. Richardson,Green Party,940,2.1,,,83465,72312,62.5,"Blois, Kody",Liberal,NS
12008,Nova Scotia,Sackville--Preston--Chezzetcook,Semi-urban,Darrell Samson,Liberal,18838,41.3,6791.0,14.9,86498,72440,63.3,"Samson, Darrell",Liberal,NS
12008,Nova Scotia,Sackville--Preston--Chezzetcook,Semi-urban,Angela Conrad,Conservative,12047,26.4,,,86498,72440,63.3,"Samson, Darrell",Liberal,NS
12008,Nova Scotia,Sackville--Preston--Chezzetcook,Semi-urban,Jenna Chisholm,NDP-New Democratic Party,12012,26.3,,,86498,72440,63.3,"Samson, Darrell",Liberal,NS
12008,Nova Scotia,Sackville--Preston--Chezzetcook,Semi-urban,Earl Gosse,People's Party - PPC,1776,3.9,,,86498,72440,63.3,"Samson, Darrell",Liberal,NS
12008,Nova Scotia,Sackville--Preston--Chezzetcook,Semi-urban,Anthony Edmonds,Green Party,933,2.0,,,86498,72440,63.3,"Samson, Darrell",Liberal,NS
12009,Nova Scotia,South Shore--St. Margarets,Rural,Rick Perkins,Conservative,20454,40.9,1879.0,3.8,91830,80138,62.9,"Perkins, Rick",Conservative,NS
12009,Nova Scotia,South Shore--St. Margarets,Rural,Bernadette Jordan,Liberal,18575,37.1,,,91830,80138,62.9,"Perkins, Rick",Conservative,NS
12009,Nova Scotia,South Shore--St. Margarets,Rural,Olivia Dorey,NDP-New Democratic Party,9541,19.1,,,91830,80138,62.9,"Perkins, Rick",Conservative,NS
12009,Nova Scotia,South Shore--St. Margarets,Rural,Thomas Trappenberg,Green Party,1434,2.9,,,91830,80138,62.9,"Perkins, Rick",Conservative,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Jaime Battiste,Liberal,14250,39.2,1084.0,3.0,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Eddie Orrell,Conservative,13166,36.3,,,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Jeff Ward,NDP-New Democratic Party,7217,19.9,,,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Ronald Angus Barron,People's Party - PPC,1176,3.2,,,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Mark Embrett,Green Party,376,1.0,,,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12010,Nova Scotia,Sydney--Victoria,Rural,Nikki Boisvert,Marxist-Leninist,127,0.3,,,72148,59786,61.5,"Battiste, Jaime",Liberal,NS
12011,Nova Scotia,West Nova/Nova-Ouest,Rural,Chris d'Entremont,Conservative,22104,50.4,8372.0,19.1,82026,70823,62.3,"d'Entremont, Chris",Conservative,NS
12011,Nova Scotia,West Nova/Nova-Ouest,Rural,Alxys Chamberlain,Liberal,13732,31.3,,,82026,70823,62.3,"d'Entremont, Chris",Conservative,NS
12011,Nova Scotia,West Nova/Nova-Ouest,Rural,Cheryl Burbidge,NDP-New Democratic Party,5645,12.9,,,82026,70823,62.3,"d'Entremont, Chris",Conservative,NS
12011,Nova Scotia,West Nova/Nova-Ouest,Rural,Scott Spidle,People's Party - PPC,2390,5.4,,,82026,70823,62.3,"d'Entremont, Chris",Conservative,NS
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Serge Cormier,Liberal,27817,64.8,21901.0,51.0,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Jean-Paul Lanteigne,Conservative,5916,13.8,,,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Mélissa Hébert,NDP-New Democratic Party,4906,11.4,,,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Kenneth Edward Langford,People's Party - PPC,2531,5.9,,,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Rachel Johns,Green Party,1203,2.8,,,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13001,New Brunswick,Acadie--Bathurst,Semi-urban,Richer Doiron,Free Party Canada,549,1.3,,,77791,67137,64.7,"Cormier, Serge",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Dominic LeBlanc,Liberal,27313,55.6,17787.0,36.2,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Shelly Mitchell,Conservative,9526,19.4,,,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Evelyne Godfrey,NDP-New Democratic Party,5394,11.0,,,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Jack Minor,People's Party - PPC,3723,7.6,,,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Stella Anna Girouard,Green Party,2798,5.7,,,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13002,New Brunswick,Beauséjour,Semi-urban,Isabelle Sauriol Chiasson,Free Party Canada,391,0.8,,,82292,73081,67.6,"LeBlanc, Dominic",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Jenica Atwin,Liberal,16316,37.0,502.0,1.1,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Andrea Johnson,Conservative,15814,35.9,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Nicole O'Byrne,Green Party,5666,12.9,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Shawn Oldenburg,NDP-New Democratic Party,5564,12.6,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Jen Smith,Independent,310,0.7,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,Brandon Kirby,Libertarian,234,0.5,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13003,New Brunswick,Fredericton,Urban,June Patterson,Communist,158,0.4,,,83303,66921,66.3,"Atwin, Jenica",Liberal,NB
13004,New Brunswick,Fundy Royal,Rural,Rob Moore,Conservative,21460,48.4,10385.0,23.4,79943,67030,66.5,"Moore, Rob",Conservative,NB
13004,New Brunswick,Fundy Royal,Rural,Whitney Dykeman,Liberal,11075,25.0,,,79943,67030,66.5,"Moore, Rob",Conservative,NB
13004,New Brunswick,Fundy Royal,Rural,Josh Floyd,NDP-New Democratic Party,6211,14.0,,,79943,67030,66.5,"Moore, Rob",Conservative,NB
13004,New Brunswick,Fundy Royal,Rural,Wayne Wheeler,People's Party - PPC,3447,7.8,,,79943,67030,66.5,"Moore, Rob",Conservative,NB
13004,New Brunswick,Fundy Royal,Rural,Tim Thompson,Green Party,2189,4.9,,,79943,67030,66.5,"Moore, Rob",Conservative,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,René Arseneault,Liberal,16854,55.2,8962.0,29.3,60378,50308,61.5,"Arseneault, René",Liberal,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,Shawn Beaulieu,Conservative,7892,25.8,,,60378,50308,61.5,"Arseneault, René",Liberal,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,Nancy Mercier,People's Party - PPC,1889,6.2,,,60378,50308,61.5,"Arseneault, René",Liberal,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,Elizabeth MacDonald,NDP-New Democratic Party,1848,6.0,,,60378,50308,61.5,"Arseneault, René",Liberal,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,Louis Berube,Free Party Canada,1277,4.2,,,60378,50308,61.5,"Arseneault, René",Liberal,NB
13005,New Brunswick,Madawaska--Restigouche,Rural,Rebecca Blaevoet,Green Party,786,2.6,,,60378,50308,61.5,"Arseneault, René",Liberal,NB
13006,New Brunswick,Miramichi--Grand Lake,Rural,Jake Stewart,Conservative,14218,43.7,1456.0,4.5,57405,48932,67.1,"Stewart, Jake",Conservative,NB
13006,New Brunswick,Miramichi--Grand Lake,Rural,Lisa Harris,Liberal,12762,39.3,,,57405,48932,67.1,"Stewart, Jake",Conservative,NB
13006,New Brunswick,Miramichi--Grand Lake,Rural,Bruce Potter,NDP-New Democratic Party,2291,7.0,,,57405,48932,67.1,"Stewart, Jake",Conservative,NB
13006,New Brunswick,Miramichi--Grand Lake,Rural,Ron Nowlan,People's Party - PPC,1839,5.7,,,57405,48932,67.1,"Stewart, Jake",Conservative,NB
13006,New Brunswick,Miramichi--Grand Lake,Rural,Patty Deitch,Green Party,1393,4.3,,,57405,48932,67.1,"Stewart, Jake",Conservative,NB
13007,New Brunswick,Moncton--Riverview--Dieppe,Urban,Ginette Petitpas Taylor,Liberal,22460,49.1,11768.0,25.7,92666,74843,61.6,"Petitpas Taylor, Ginette",Liberal,NB
13007,New Brunswick,Moncton--Riverview--Dieppe,Urban,Darlene Smith,Conservative,10692,23.4,,,92666,74843,61.6,"Petitpas Taylor, Ginette",Liberal,NB
13007,New Brunswick,Moncton--Riverview--Dieppe,Urban,Serge Landry,NDP-New Democratic Party,7774,17.0,,,92666,74843,61.6,"Petitpas Taylor, Ginette",Liberal,NB
13007,New Brunswick,Moncton--Riverview--Dieppe,Urban,Lorilee Carrier,People's Party - PPC,2901,6.3,,,92666,74843,61.6,"Petitpas Taylor, Ginette",Liberal,NB
13007,New Brunswick,Moncton--Riverview--Dieppe,Urban,Richard Dunn,Green Party,1935,4.2,,,92666,74843,61.6,"Petitpas Taylor, Ginette",Liberal,NB
13008,New Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Rural,John Williamson,Conservative,18309,50.0,9559.0,26.1,65287,55006,67.0,"Williamson, John",Conservative,NB
13008,New Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Rural,Jason Hickey,Liberal,8750,23.9,,,65287,55006,67.0,"Williamson, John",Conservative,NB
13008,New Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Rural,Richard Trevor Warren,NDP-New Democratic Party,4893,13.4,,,65287,55006,67.0,"Williamson, John",Conservative,NB
13008,New Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Rural,Meryl Sarty,People's Party - PPC,3090,8.4,,,65287,55006,67.0,"Williamson, John",Conservative,NB
13008,New Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Rural,John Reist,Green Party,1587,4.3,,,65287,55006,67.0,"Williamson, John",Conservative,NB
13009,New Brunswick,Saint John--Rothesay,Urban,Wayne Long,Liberal,17375,46.4,5060.0,13.5,79363,63664,59.2,"Long, Wayne",Liberal,NB
13009,New Brunswick,Saint John--Rothesay,Urban,Mel Norton,Conservative,12315,32.9,,,79363,63664,59.2,"Long, Wayne",Liberal,NB
13009,New Brunswick,Saint John--Rothesay,Urban,Don Paulin,NDP-New Democratic Party,4816,12.9,,,79363,63664,59.2,"Long, Wayne",Liberal,NB
13009,New Brunswick,Saint John--Rothesay,Urban,Nicholas Pereira,People's Party - PPC,1996,5.3,,,79363,63664,59.2,"Long, Wayne",Liberal,NB
13009,New Brunswick,Saint John--Rothesay,Urban,Ann McAllister,Green Party,948,2.5,,,79363,63664,59.2,"Long, Wayne",Liberal,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Richard Bragdon,Conservative,17536,51.0,9313.0,27.1,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Cully Robinson,Liberal,8223,23.9,,,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Meriet Gray Miller,NDP-New Democratic Party,3656,10.6,,,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Daniel Joseph Waggoner,People's Party - PPC,2930,8.5,,,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Anthony Martin,Green Party,1657,4.8,,,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
13010,New Brunswick,Tobique--Mactaquac,Rural,Steven J LaForest,Independent,398,1.2,,,68673,56052,61.9,"Bragdon, Richard",Conservative,NB
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Rural,Sylvie Bérubé,Bloc Quebecois,10784,37.9,3400.0,12.0,87787,65543,44.7,"Bérubé, Sylvie",Bloc Quebecois,QC
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Rural,Lise Kistabish,Liberal,7384,26.0,,,87787,65543,44.7,"Bérubé, Sylvie",Bloc Quebecois,QC
24001,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Rural,Steve Corriveau,Conservative,4508,15.9,,,87787,65543,44.7,"Bérubé, Sylvie",Bloc Quebecois,QC
